bracket,round,config,resource,score,time
4,0,"{'hidden_layer_sizes': (128, 116), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(1.1434961672243028e-05), 'learning_rate_init': np.float64(0.008828260510318769), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7618315280477533,0.26322507858276367
4,0,"{'hidden_layer_sizes': (144,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.0026370933653339502), 'learning_rate_init': np.float64(0.0002028421304615347), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7419423703462465,0.35730886459350586
4,0,"{'hidden_layer_sizes': (116,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.033267749467591055), 'learning_rate_init': np.float64(0.004530365961110124), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7647109081262062,0.1930849552154541
4,0,"{'hidden_layer_sizes': (50,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.07000611615845177), 'learning_rate_init': np.float64(0.006232276404235466), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7679355108883109,0.16025185585021973
4,0,"{'hidden_layer_sizes': (151, 90, 174), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00040712116369159303), 'learning_rate_init': np.float64(0.00027768120498696577), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7521267107086075,0.7910029888153076
4,0,"{'hidden_layer_sizes': (203, 97, 275), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(3.219759763315494e-05), 'learning_rate_init': np.float64(0.00010367713614320823), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7549546704376361,0.9368059635162354
4,0,"{'hidden_layer_sizes': (297, 139, 218), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0013478158908478866), 'learning_rate_init': np.float64(0.0033967227662544588), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7817680260975891,0.7457709312438965
4,0,"{'hidden_layer_sizes': (241, 132), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.014891753381737295), 'learning_rate_init': np.float64(0.009414625552961065), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7457880834658356,0.7292437553405762
4,0,"{'hidden_layer_sizes': (75, 105, 151), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0017338134420413949), 'learning_rate_init': np.float64(0.008397231751568158), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7740620817404472,0.42992210388183594
4,0,"{'hidden_layer_sizes': (102, 88), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.002332700353221117), 'learning_rate_init': np.float64(0.0002835783633476878), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.74227464304345,0.2615060806274414
4,0,"{'hidden_layer_sizes': (116, 259, 95), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00027259570488890006), 'learning_rate_init': np.float64(0.004680796301594411), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7727257338556672,0.4737231731414795
4,0,"{'hidden_layer_sizes': (136,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00017558537289215717), 'learning_rate_init': np.float64(0.00046232626676890383), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7050464710189747,0.18243789672851562
4,0,"{'hidden_layer_sizes': (59,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.01860952217533034), 'learning_rate_init': np.float64(0.006256297059205525), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.765584250743332,0.19754791259765625
4,0,"{'hidden_layer_sizes': (142,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00014277721470418492), 'learning_rate_init': np.float64(0.00016559100372232579), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7166994682852877,0.2558741569519043
4,0,"{'hidden_layer_sizes': (76, 81), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(5.533512186683143e-05), 'learning_rate_init': np.float64(0.0006772724762268181), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7502732378606934,0.24767208099365234
4,0,"{'hidden_layer_sizes': (186, 196), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.09787526769674665), 'learning_rate_init': np.float64(0.00012282972152212164), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7032782896821484,0.3112831115722656
4,0,"{'hidden_layer_sizes': (125, 247, 87), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.046884171589489015), 'learning_rate_init': np.float64(0.000984437798348304), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7563657540345131,0.38744187355041504
4,0,"{'hidden_layer_sizes': (177,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.004023589682084487), 'learning_rate_init': np.float64(0.0016277079512168385), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.753062394381757,0.28587889671325684
4,0,"{'hidden_layer_sizes': (55, 64, 232), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(4.660027023279974e-05), 'learning_rate_init': np.float64(0.0006426359098874961), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7580397271132547,0.3297300338745117
4,0,"{'hidden_layer_sizes': (132, 55), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(1.3409586197607618e-05), 'learning_rate_init': np.float64(0.00015961580086317078), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.722763434893667,0.25808095932006836
4,0,"{'hidden_layer_sizes': (81,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.09663666267206814), 'learning_rate_init': np.float64(0.006341188041407988), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7584650351329097,0.15471506118774414
4,0,"{'hidden_layer_sizes': (181, 205, 81), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0033828316063557605), 'learning_rate_init': np.float64(0.00010206076129259103), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7447986383417167,0.6006991863250732
4,0,"{'hidden_layer_sizes': (270,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.00019271683027138612), 'learning_rate_init': np.float64(0.0005924114122875134), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7428938269786226,0.24980902671813965
4,0,"{'hidden_layer_sizes': (60, 100), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0021432921924089466), 'learning_rate_init': np.float64(0.0003588579382190194), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7518736927168227,0.38387203216552734
4,0,"{'hidden_layer_sizes': (243, 84), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(1.2756626192058531e-05), 'learning_rate_init': np.float64(0.0065391648620964455), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7771943805850315,0.40322375297546387
4,0,"{'hidden_layer_sizes': (169, 128, 237), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0024419032280794456), 'learning_rate_init': np.float64(0.006681044003133819), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.77581336118512,0.5850238800048828
4,0,"{'hidden_layer_sizes': (207, 177), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.004264547972513763), 'learning_rate_init': np.float64(0.001748737017186386), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7514248600844495,0.392733097076416
4,0,"{'hidden_layer_sizes': (98,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(5.234649635336326e-05), 'learning_rate_init': np.float64(0.008884428809945014), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7683951034621558,0.15868520736694336
4,0,"{'hidden_layer_sizes': (53,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.0018082466455946443), 'learning_rate_init': np.float64(0.008744761334024883), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7608612309672579,0.16348600387573242
4,0,"{'hidden_layer_sizes': (139,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.002335983185493817), 'learning_rate_init': np.float64(0.00012846177720977255), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7114215045491239,0.35272789001464844
4,0,"{'hidden_layer_sizes': (277, 197, 136), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(3.432468291817951e-05), 'learning_rate_init': np.float64(0.0003275512248817542), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7719827199561845,0.7378299236297607
4,0,"{'hidden_layer_sizes': (120, 130, 75), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(1.4252063622453243e-05), 'learning_rate_init': np.float64(0.0008688117842569317), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.771466222203368,0.4499020576477051
4,0,"{'hidden_layer_sizes': (172, 182), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(1.1797094754285829e-05), 'learning_rate_init': np.float64(0.00011767059370888722), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7038039781269231,0.35400390625
4,0,"{'hidden_layer_sizes': (69, 209, 74), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.07914214401624735), 'learning_rate_init': np.float64(0.00021948204195167947), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7589198975196826,0.649949312210083
4,0,"{'hidden_layer_sizes': (154,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0056661435457698766), 'learning_rate_init': np.float64(0.00018669676012265712), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.6389462573943566,0.17790699005126953
4,0,"{'hidden_layer_sizes': (94, 69, 160), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.004697327947188419), 'learning_rate_init': np.float64(0.0010233356463959337), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7552743427812348,0.34490418434143066
4,0,"{'hidden_layer_sizes': (236, 163), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.0003849578112805029), 'learning_rate_init': np.float64(0.0007544227934874872), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7430573653903494,0.40377187728881836
4,0,"{'hidden_layer_sizes': (265, 56, 227), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.001029403223843248), 'learning_rate_init': np.float64(0.0013609252742119286), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7611397253791617,0.7999310493469238
4,0,"{'hidden_layer_sizes': (73,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0010086974481117261), 'learning_rate_init': np.float64(0.00038140933485264386), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7303529854407929,0.26258301734924316
4,0,"{'hidden_layer_sizes': (125,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.018788933038258734), 'learning_rate_init': np.float64(0.0011336629515760735), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7374609331503811,0.16987323760986328
4,0,"{'hidden_layer_sizes': (149, 83), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(5.714653740872598e-05), 'learning_rate_init': np.float64(0.0024530962284177804), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7586987257140582,0.2873377799987793
4,0,"{'hidden_layer_sizes': (83,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.003337510586731687), 'learning_rate_init': np.float64(0.005416092390240024), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7729387098279562,0.2823460102081299
4,0,"{'hidden_layer_sizes': (91,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(3.9483686132499966e-05), 'learning_rate_init': np.float64(0.0002401521104265172), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.6893071461075252,0.1786208152770996
4,0,"{'hidden_layer_sizes': (122,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.006448707388304776), 'learning_rate_init': np.float64(0.0002246985214675383), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.713257345097804,0.23860502243041992
4,0,"{'hidden_layer_sizes': (168,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.002617272697507497), 'learning_rate_init': np.float64(0.0024057307254576003), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7712001300901159,0.3793160915374756
4,0,"{'hidden_layer_sizes': (55, 53), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.015172084130549037), 'learning_rate_init': np.float64(0.00023538579376470052), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.736352220079472,0.26314401626586914
4,0,"{'hidden_layer_sizes': (98,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.008272714061842863), 'learning_rate_init': np.float64(0.00010770253974369155), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.6460456980874383,0.19203400611877441
4,0,"{'hidden_layer_sizes': (52, 73), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.0012860523541965816), 'learning_rate_init': np.float64(0.006256530340179193), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7649418701288523,0.2662348747253418
4,0,"{'hidden_layer_sizes': (77, 119), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.004772664843717883), 'learning_rate_init': np.float64(0.005524914461439535), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7502819828341316,0.25832605361938477
4,0,"{'hidden_layer_sizes': (282, 67, 73), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.08650511304330653), 'learning_rate_init': np.float64(0.0013477877810481626), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7761195169763764,0.3938930034637451
4,0,"{'hidden_layer_sizes': (115,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.031631004804465644), 'learning_rate_init': np.float64(0.00017078672979011715), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7192407819380643,0.32899928092956543
4,0,"{'hidden_layer_sizes': (128,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.0002884499562186879), 'learning_rate_init': np.float64(0.005782889616276267), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7566773697515017,0.21340012550354004
4,0,"{'hidden_layer_sizes': (211,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.002116579015805163), 'learning_rate_init': np.float64(0.0014440072995677664), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.768193428097049,0.3998219966888428
4,0,"{'hidden_layer_sizes': (51, 159), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.08596580900768547), 'learning_rate_init': np.float64(0.004400812176035255), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7703111528666992,0.21486282348632812
4,0,"{'hidden_layer_sizes': (232,), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.0007726388601315525), 'learning_rate_init': np.float64(0.00039587867273014926), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7487606744602321,0.41480088233947754
4,0,"{'hidden_layer_sizes': (155,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.00010292276408082563), 'learning_rate_init': np.float64(0.0007998986363756805), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7483624642974828,0.20340490341186523
4,0,"{'hidden_layer_sizes': (100, 208), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(1.0329960589446393e-05), 'learning_rate_init': np.float64(0.0002846812941423648), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.758121897341808,0.5366871356964111
4,0,"{'hidden_layer_sizes': (70, 245, 124), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0038904630585511715), 'learning_rate_init': np.float64(0.0003142421953428667), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7109911998555521,0.345473051071167
4,0,"{'hidden_layer_sizes': (108, 147), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.004945471160301542), 'learning_rate_init': np.float64(0.00047619425408414976), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7746140356022986,0.49906206130981445
4,0,"{'hidden_layer_sizes': (144,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.09069298380718611), 'learning_rate_init': np.float64(0.0007576395311759032), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7244076461809046,0.17777466773986816
4,0,"{'hidden_layer_sizes': (241, 111, 255), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(1.16094919296083e-05), 'learning_rate_init': np.float64(0.00036365543388131396), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7551759909122492,0.7013921737670898
4,0,"{'hidden_layer_sizes': (194, 217), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.0009794683795960873), 'learning_rate_init': np.float64(0.004022221959402056), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7816324889637523,0.5061061382293701
4,0,"{'hidden_layer_sizes': (129, 143, 124), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00705104189352263), 'learning_rate_init': np.float64(0.0003181557564886411), 'batch_size': 32, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7521069509292836,0.7576570510864258
4,0,"{'hidden_layer_sizes': (211, 58, 90), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00010335186841682954), 'learning_rate_init': np.float64(0.0006311253148723613), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.762855374900063,0.4694383144378662
4,0,"{'hidden_layer_sizes': (60, 75, 104), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.07075950285244233), 'learning_rate_init': np.float64(0.0006137214710604008), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7615533187816649,0.3590419292449951
4,0,"{'hidden_layer_sizes': (103, 73, 168), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.00019165559879274018), 'learning_rate_init': np.float64(0.0001601922285473955), 'batch_size': 64, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.734479521952871,0.4353501796722412
4,0,"{'hidden_layer_sizes': (55,), 'activation': np.str_('relu'), 'solver': 'adam', 'alpha': np.float64(0.006051208796366006), 'learning_rate_init': np.float64(0.00015691460313388363), 'batch_size': 128, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.6058157651496288,0.15984416007995605
4,0,"{'hidden_layer_sizes': (179, 52), 'activation': np.str_('tanh'), 'solver': 'adam', 'alpha': np.float64(0.00023873780751490164), 'learning_rate_init': np.float64(0.003211779747954273), 'batch_size': 256, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",1,0.7592762667144205,0.23941397666931152
